id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
10	0	122	343	441	13	3	319	224	221
4	0	55	588	611	23	0	556	533	533
15	0	171	667	690	23	0	519	496	496
17	0	186	385	736	18	3	550	202	199
16	0	184	712	1199	28	1	1015	529	528
13	0	129	770	1239	56	3	1110	644	641
12	0	126	1066	1346	36	7	1220	947	940
8	0	72	1299	1357	26	1	1285	1228	1227
6	0	66	1367	1560	47	6	1494	1307	1301
24	0	235	354	1622	116	12	1387	131	119
3	0	25	397	1664	51	3	1639	375	372
5	0	56	451	1681	23	2	1625	397	395
23	0	234	487	1748	38	7	1514	260	253
20	0	205	2030	2286	87	3	2081	1828	1825
9	0	112	312	2400	33	5	2288	205	200
22	0	223	1776	2480	126	12	2257	1565	1553
11	0	123	746	2622	108	9	2499	632	623
25	0	260	544	2717	94	7	2457	291	284
2	0	11	32	3107	390	19	3096	40	21
7	0	67	301	3179	142	16	3112	250	234
21	0	222	863	3632	318	43	3410	684	641
18	0	187	3247	3904	198	18	3717	3078	3060
19	0	191	817	3996	170	20	3805	646	626
1	0	0	10	4008	194	20	4008	30	10
14	0	150	4018	4138	29	11	3988	3879	3868
0	0	0	0	4138	1	0	4138	0	0
